iter	Passed	Remaining
0	3	3880
1	9	4583
2	13	4443
3	16	4161
4	19	3965
5	23	3844
6	26	3789
7	30	3806
8	33	3740
9	36	3621
10	39	3573
11	42	3521
12	45	3459
13	48	3418
14	51	3374
15	54	3345
16	57	3324
17	60	3298
18	63	3272
19	66	3255
20	69	3237
21	72	3230
22	76	3244
23	79	3223
24	81	3194
25	84	3166
26	87	3162
27	91	3168
28	94	3157
29	97	3148
30	100	3133
31	103	3137
32	107	3145
33	110	3150
34	113	3141
35	117	3133
36	120	3132
37	123	3120
38	126	3108
39	129	3097
40	132	3090
41	135	3087
42	138	3093
43	142	3105
44	146	3100
45	149	3091
46	152	3084
47	155	3076
48	157	3065
49	160	3053
50	163	3044
51	166	3038
52	171	3062
53	174	3061
54	177	3055
55	180	3046
56	187	3098
57	193	3136
58	196	3134
59	200	3143
60	207	3192
61	210	3184
62	213	3176
63	216	3166
64	219	3158
65	222	3149
66	225	3141
67	228	3135
68	232	3133
69	235	3130
70	238	3123
71	241	3114
72	244	3106
73	247	3093
74	249	3081
75	252	3067
76	254	3056
77	257	3045
78	260	3035
79	263	3031
80	266	3019
81	268	3007
82	271	2994
83	273	2983
84	276	2980
85	279	2973
86	282	2967
87	286	2968
88	289	2966
89	292	2960
90	296	2959
91	300	2961
92	302	2954
93	305	2945
94	308	2938
95	311	2932
96	314	2923
97	316	2915
98	319	2907
99	322	2900
100	325	2893
101	328	2891
102	331	2883
103	334	2877
104	336	2872
105	340	2868
106	343	2869
107	347	2867
108	350	2861
109	352	2854
110	355	2849
111	358	2844
112	361	2838
113	364	2832
114	367	2825
115	370	2820
116	373	2815
117	376	2813
118	379	2807
119	381	2800
120	384	2793
121	387	2790
122	390	2785
123	394	2784
124	397	2781
125	400	2776
126	403	2771
127	406	2767
128	408	2761
129	411	2755
130	414	2750
131	417	2746
132	420	2742
133	424	2741
134	427	2736
135	429	2730
136	432	2724
137	435	2720
138	438	2717
139	441	2714
140	444	2709
141	447	2705
142	450	2700
143	453	2698
144	457	2694
145	460	2690
146	463	2690
147	467	2691
148	472	2697
149	475	2695
150	479	2693
151	481	2688
152	485	2688
153	490	2691
154	492	2684
155	495	2680
156	498	2675
157	502	2676
158	506	2677
159	509	2676
160	512	2671
161	516	2669
162	519	2666
163	522	2663
164	525	2659
165	528	2655
166	532	2656
167	535	2653
168	539	2651
169	542	2648
170	545	2645
171	549	2647
172	553	2644
173	557	2644
174	560	2642
175	564	2642
176	568	2642
177	571	2637
178	573	2632
179	577	2628
180	581	2629
181	584	2625
182	587	2621
183	589	2614
184	592	2610
185	596	2611
186	599	2606
187	602	2602
188	605	2597
189	608	2596
190	613	2597
191	617	2596
192	620	2592
193	622	2586
194	625	2582
195	629	2580
196	632	2576
197	636	2578
198	638	2568
199	640	2560
200	642	2555
201	646	2553
202	649	2549
203	652	2545
204	655	2540
205	658	2539
206	662	2536
207	665	2534
208	668	2530
209	671	2526
210	675	2524
211	679	2525
212	682	2520
213	684	2513
214	687	2509
215	691	2510
216	694	2507
217	698	2505
218	701	2501
219	706	2505
220	711	2506
221	714	2505
222	717	2501
223	721	2498
224	723	2493
225	726	2488
226	729	2484
227	731	2477
228	734	2473
229	739	2474
230	741	2470
231	744	2465
232	747	2460
233	750	2456
234	754	2455
235	757	2451
236	760	2446
237	762	2442
238	765	2438
239	768	2432
240	771	2429
241	774	2425
242	777	2422
243	780	2417
244	783	2413
245	786	2411
246	790	2409
247	793	2405
248	796	2401
249	799	2397
250	802	2394
251	805	2391
252	808	2386
253	811	2382
254	813	2376
255	817	2375
256	820	2371
257	823	2367
258	826	2363
259	829	2359
260	832	2357
261	835	2353
262	838	2349
263	841	2344
